population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,125,Colombia,1,Male,12,35-39 years,294,All causes,3,Rate,2019,218.59753362048016,227.02324908631726,210.2190535144567
1,All Population,1,Deaths,125,Colombia,2,Female,12,35-39 years,294,All causes,3,Rate,2019,97.09459055266147,102.32263355997209,92.38883930072194
1,All Population,1,Deaths,125,Colombia,1,Male,13,40-44 years,294,All causes,1,Number,2019,3612.9559549254077,3754.8892981539675,3471.437547422192
1,All Population,1,Deaths,125,Colombia,2,Female,13,40-44 years,294,All causes,1,Number,2019,2105.826266368981,2205.3920602271032,2015.1074820659237
1,All Population,1,Deaths,125,Colombia,1,Male,13,40-44 years,294,All causes,2,Percent,2019,1.0,1.0,1.0
1,All Population,1,Deaths,125,Colombia,2,Female,13,40-44 years,294,All causes,2,Percent,2019,1.0,1.0,1.0
1,All Population,1,Deaths,125,Colombia,1,Male,13,40-44 years,294,All causes,3,Rate,2019,245.07098178742476,254.69848464307864,235.47162450200756
1,All Population,1,Deaths,125,Colombia,2,Female,13,40-44 years,294,All causes,3,Rate,2019,131.3139348945792,137.5226029035296,125.65694375246201
1,All Population,1,Deaths,125,Colombia,1,Male,14,45-49 years,294,All causes,1,Number,2019,4115.849930493097,4272.437976107696,3970.0147352102167
1,All Population,1,Deaths,125,Colombia,2,Female,14,45-49 years,294,All causes,1,Number,2019,2841.4676968499043,2951.9285730542956,2726.209061662942
1,All Population,1,Deaths,125,Colombia,1,Male,14,45-49 years,294,All causes,2,Percent,2019,1.0,1.0,1.0
1,All Population,1,Deaths,125,Colombia,2,Female,14,45-49 years,294,All causes,2,Percent,2019,1.0,1.0,1.0
1,All Population,1,Deaths,125,Colombia,1,Male,14,45-49 years,294,All causes,3,Rate,2019,304.5062828160631,316.09126392780655,293.71683860179735
1,All Population,1,Deaths,125,Colombia,2,Female,14,45-49 years,294,All causes,3,Rate,2019,187.74851500760366,195.04716052689105,180.1328600338923
1,All Population,1,Deaths,125,Colombia,1,Male,15,50-54 years,294,All causes,1,Number,2019,5581.364935235666,5776.551133718162,5380.120526284504
1,All Population,1,Deaths,125,Colombia,2,Female,15,50-54 years,294,All causes,1,Number,2019,3998.8015762113573,4152.912027996182,3850.5300647185395
1,All Population,1,Deaths,125,Colombia,1,Male,15,50-54 years,294,All causes,2,Percent,2019,1.0,1.0,1.0
1,All Population,1,Deaths,125,Colombia,2,Female,15,50-54 years,294,All causes,2,Percent,2019,1.0,1.0,1.0
1,All Population,1,Deaths,125,Colombia,1,Male,15,50-54 years,294,All causes,3,Rate,2019,422.6806797367055,437.46226739619823,407.4402995509048
1,All Population,1,Deaths,125,Colombia,2,Female,15,50-54 years,294,All causes,3,Rate,2019,266.2506746691608,276.5117518892399,256.3783693754879
1,All Population,1,Deaths,125,Colombia,1,Male,16,55-59 years,294,All causes,1,Number,2019,7476.118631361167,7716.618903216297,7218.834111114734
1,All Population,1,Deaths,125,Colombia,2,Female,16,55-59 years,294,All causes,1,Number,2019,5386.710516314747,5572.794075937678,5197.146204842548
1,All Population,1,Deaths,125,Colombia,1,Male,16,55-59 years,294,All causes,2,Percent,2019,1.0,1.0,1.0
1,All Population,1,Deaths,125,Colombia,2,Female,16,55-59 years,294,All causes,2,Percent,2019,1.0,1.0,1.0
1,All Population,1,Deaths,125,Colombia,1,Male,16,55-59 years,294,All causes,3,Rate,2019,637.355484716825,657.8586595460414,615.4214159576804
1,All Population,1,Deaths,125,Colombia,2,Female,16,55-59 years,294,All causes,3,Rate,2019,397.72862858540776,411.468137836362,383.7321174674954
1,All Population,1,Deaths,125,Colombia,1,Male,17,60-64 years,294,All causes,1,Number,2019,9619.542975470089,9909.999011014828,9319.934588907954
