age,sex,age_sex,population,mx,pyld_rate,deaths_rate_ishd,ylds_rate_ishd,dw_adj_ishd,prevalence_ishd,deaths_rate_copd,ylds_rate_copd,dw_adj_copd,prevalence_copd,deaths_rate_dmt2,ylds_rate_dmt2,dw_adj_dmt2,prevalence_dmt2,case_fatality_copd,case_fatality_dmt2,case_fatality_ishd,incidence_copd,incidence_dmt2,incidence_ishd,remission_copd,remission_dmt2,remission_ishd
10,female,10_female,0,3.1458124890353095e-4,0.06398033057841891,2.959103770773258e-6,1.1424392858049415e-5,0.056650267406144636,2.1434393035530257e-4,8.425515202388993e-7,4.537824889151515e-5,0.058871373717972617,8.19263465215179e-4,1.3249698697012174e-6,1.8749689047630296e-4,0.05000757219033423,0.003985091744629439,0.023812429489187256,0.014463371522046495,0.055051259378990705,1.0147492707005565e-4,4.8459405018594836e-4,1.0594540876863215e-4,0,0,0
11,female,11_female,0,3.2702191163698496e-4,0.06631390369608922,3.2350421099424492e-6,1.3658763648381935e-5,0.05617271940811951,2.5936170604815923e-4,8.982593462479159e-7,4.9318488204905435e-5,0.059106961262272585,8.900021101830542e-4,1.4059830920794644e-6,2.117996378902359e-4,0.05102705866866763,0.004427357497335779,0.02321240030462789,0.01259803910118024,0.05242469006116489,1.0870436453182657e-4,5.666950142665377e-4,1.120251732394722e-4,0,0,0
12,female,12_female,0,3.399545620200112e-4,0.06873258990158325,3.53671187758518e-6,1.633013033781585e-5,0.05569919702375624,3.1383438034706936e-4,9.57650462600732e-7,5.360086248881656e-5,0.05934349156512433,9.668486265553712e-4,1.4919497419659091e-6,2.3925242971485237e-4,0.052067329052997276,0.004918705933340567,0.022596506603164965,0.011038806662329679,0.050155682384230724,1.1600258951318675e-4,6.566216537769982e-4,1.1844205958520857e-4,0,0,0
13,female,13_female,0,3.5339865656007377e-4,0.07123949354919104,3.866512546037495e-6,1.9523960126628632e-5,0.05522966631810918,3.797477267887064e-4,1.0209684011083828e-6,5.825507966927616e-5,0.0595809683991963,0.0010503303935759662,1.5831726889830459e-6,2.702635646342588e-4,0.053128807057376916,0.005464584252172669,0.022005507602442922,0.009725953619951322,0.04810607162331043,1.2403946271944126e-4,7.50984425796014e-4,1.2517785207964108e-4,0,0,0
14,female,14_female,0,3.67374421206071e-4,0.07383783221921526,4.227067339981618e-6,2.3342435800617674e-5,0.05476409364229604,4.595045827729575e-4,1.088472795419514e-6,6.3313427241619e-5,0.05981939555225414,0.0011410203266253112,1.6799733212454785e-6,3.052942637024423e-4,0.054211925033967046,0.00607104418393494,0.021423893685975037,0.00859637668365191,0.04574434002015921,1.3231754301621672e-4,8.448740733266243e-4,1.3215248304081917e-4,0,0,0
15,female,15_female,0,3.8190288177723537e-4,0.07653094084769631,4.621244101496823e-6,2.7907724947809752e-5,0.05430244563108641,5.56012443773842e-4,1.1604404456417621e-6,6.881099625710272e-5,0.06005877682722106,0.0012395408090016102,1.7826926776443357e-6,3.448655299716331e-4,0.05531712414913695,0.006744809080148415,0.020935365432394264,0.007580016545977493,0.04348457731621748,1.4092570033531285e-4,9.400853427293062e-4,1.3964950456401813e-4,0,0,0
16,female,16_female,0,3.9700589559539756e-4,0.07932227600676221,5.0521781007898695e-6,3.3365888565151156e-5,0.05384468920051075,6.727894546029188e-4,1.2371664533537976e-6,7.478592475850825e-5,0.06029911604223865,0.001346567963188362,1.8916926493634215e-6,3.8956589724376125e-4,0.056444854563156836,0.007493348450342959,0.02044224329334391,0.006712798156302348,0.04133097897574302,1.495515141646991e-4,0.0010367988829979168,1.4763986655937013e-4,0,0,0
17,female,17_female,2050321.2836103286,4.127061843682029e-4,0.08221542034109675,5.523296974040668e-6,3.989155410640002e-5,0.053390791545489265,8.140926615826003e-4,1.3189654316620698e-6,8.127966235349993e-5,0.06054041703072758,0.0014628362909211007,2.007357254860253e-6,4.4006018319029994e-4,0.057595575613553204,0.008324960770723798,0.019998324219739703,0.005986938543445863,0.03928196381924045,1.5844093270398935e-4,0.0011279073643435376,1.558835087066289e-4,0,0,0
18,female,18_female,0,4.293052958280971e-4,0.08524399289777775,6.050538597532157e-6,4.7978761472298465e-5,0.05291550890173623,9.914211059886455e-4,1.4058028968934483e-6,8.83969718017755e-5,0.06079460680358428,0.00158988033740356,2.128771237776397e-6,4.98208184677555e-4,0.058790516906816075,0.009266072284597138,0.01951860739989388,0.005376912402780215,0.03724882317771869,1.6736509348255698e-4,0.001216839578104879,1.6496779903787083e-4,0,0,0
19,female,19_female,0,4.468613193439812e-4,0.08841514734867743,6.6414907916248765e-6,5.805062843093147e-5,0.05241948229741915,0.0012151562821272166,1.4979633810508994e-6,9.620250018089304e-5,0.06106183941002076,0.0017287588427034716,2.256126993616174e-6,5.652977797752369e-4,0.0600314488885519,0.010332761203942583,0.019044461335563263,0.004847699439521497,0.03532352907682685,1.767301799610185e-4,0.001301942362008687,1.7429150949132917e-4,0,0,0
20,female,20_female,0,4.649846933376343e-4,0.09168818415284807,7.282813102157728e-6,7.00277077110002e-5,0.05194047433876753,0.0014846062505840213,1.5963756270870486e-6,1.0466189481458634e-4,0.06132423227958636,0.0018793330824027016,2.3918446925770387e-6,6.407076095257104e-4,0.061287749829788185,0.011511541704725287,0.018506677947795216,0.004402875673643527,0.03349653329383691,1.8655529312977667e-4,0.001382094971445364,1.840894048621589e-4,0,0,0
21,female,21_female,0,4.832168313455283e-4,0.0950156825051782,7.953915237785888e-6,8.34743917988649e-5,0.051514896330893435,0.0017906517067611454,1.702148692128695e-6,1.1371136645312687e-4,0.06156359763276555,0.0020411295733034694,2.5388787414262247e-6,7.22948242278626e-4,0.0625261582855905,0.01277721339794773,0.018055551893841358,0.004031371088309052,0.031825643475513615,1.964724684748209e-4,0.0014564183609858386,1.9466850167444878e-4,0,0,0
